tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
39946	4126922	GO:0009536	IC	-	plastid	12520024	Component
39946	4126923	GO:0009536	IC	-	plastid	12520024	Component
39946	4126924	GO:0009536	IC	-	plastid	12520024	Component
39946	4126925	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126925	GO:0009536	IC	-	plastid	12520024	Component
39946	4126926	GO:0009536	IC	-	plastid	12520024	Component
39946	4126928	GO:0009536	IC	-	plastid	12520024	Component
39946	4126929	GO:0009536	IC	-	plastid	12520024	Component
39946	4126930	GO:0009536	IC	-	plastid	12520024	Component
39947	3131385	GO:0005739	IC	-	mitochondrion	12520024	Component
39947	3131385	GO:0005763	IC	-	mitochondrial small ribosomal subunit	-	Component
39947	3131390	GO:0009536	IC	-	plastid	12520024	Component
39947	3131391	GO:0009536	IC	-	plastid	12520024	Component
39947	3131392	GO:0009536	IC	-	plastid	12520024	Component
39947	3131392	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131393	GO:0009536	IC	-	plastid	12520024	Component
39947	3131393	GO:0016020	RCA	-	membrane	-	Component
39947	3131394	GO:0009536	IC	-	plastid	12520024	Component
39947	3131395	GO:0008137	RCA	-	NADH dehydrogenase (ubiquinone) activity	-	Function
39947	3131395	GO:0009536	IC	-	plastid	12520024	Component
39947	3131395	GO:0009536	ISS	-	plastid	2770692	Component
39947	3131395	GO:0016020	RCA	-	membrane	-	Component
39947	3131395	GO:0022900	RCA	-	electron transport chain	-	Process
39947	3131398	GO:0009536	IC	-	plastid	12520024	Component
39947	3131398	GO:0016020	RCA	-	membrane	-	Component
39947	3131398	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131399	GO:0009536	IC	-	plastid	12520024	Component
39947	3131399	GO:0016020	RCA	-	membrane	-	Component
39947	3131399	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131400	GO:0009536	IC	-	plastid	12520024	Component
39947	3131400	GO:0016020	RCA	-	membrane	-	Component
39947	3131400	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131401	GO:0009536	IC	-	plastid	12520024	Component
39947	3131401	GO:0016020	RCA	-	membrane	-	Component
39947	3131401	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131402	GO:0009536	IC	-	plastid	12520024	Component
39947	3131403	GO:0009536	IC	-	plastid	12520024	Component
39947	3131403	GO:0009536	ISS	-	plastid	2770692	Component
39947	3131403	GO:0016020	RCA	-	membrane	-	Component
39947	3131403	GO:0022900	RCA	-	electron transport chain	-	Process
39947	3131404	GO:0009536	IC	-	plastid	12520024	Component
39947	3131404	GO:0016020	RCA	-	membrane	-	Component
39947	3131405	GO:0009536	IC	-	plastid	12520024	Component
39947	3131405	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131406	GO:0009536	IC	-	plastid	12520024	Component
39947	3131406	GO:0016020	RCA	-	membrane	-	Component
39947	3131407	GO:0005739	RCA	-	mitochondrion	-	Component
